,start_freq,end_freq,probability
0,1860.7429504394531,1860.75439453125,0.729
1,1860.6857299804688,1860.6971740722656,0.853
2,1860.662841796875,1860.6742858886719,0.542
3,1860.6170654296875,1860.6285095214844,0.513
4,1860.5712890625,1860.5827331542969,0.534
5,1860.4682922363281,1860.479736328125,0.613
6,1860.38818359375,1860.3996276855469,0.581
7,1860.3652954101562,1860.3767395019531,0.655
8,1860.3309631347656,1860.3424072265625,0.502
9,1860.3195190429688,1860.3309631347656,0.67
10,1860.3080749511719,1860.3195190429688,0.519
11,1860.1936340332031,1860.205078125,0.599
12,1860.0334167480469,1860.0448608398438,0.572
13,1859.9189758300781,1859.930419921875,0.672
14,1859.6786499023438,1859.6900939941406,0.574
15,1859.6672058105469,1859.6786499023438,0.673
16,1859.3009948730469,1859.3124389648438,0.559
17,1859.2781066894531,1859.28955078125,0.53
18,1859.1751098632812,1859.1865539550781,0.63
19,1859.1407775878906,1859.1522216796875,0.507
20,1859.0606689453125,1859.0721130371094,0.581
21,1858.9805603027344,1858.9920043945312,0.527
22,1858.9462280273438,1858.9576721191406,0.665
23,1858.9004516601562,1858.9118957519531,0.765
24,1858.8890075683594,1858.9004516601562,0.548
25,1858.8203430175781,1858.831787109375,0.568
26,1858.7860107421875,1858.7974548339844,0.571
27,1858.7173461914062,1858.7287902832031,0.694
28,1858.7059020996094,1858.7173461914062,0.732
29,1858.5914611816406,1858.6029052734375,0.786
30,1858.5456848144531,1858.55712890625,0.635
31,1858.5342407226562,1858.5456848144531,0.61
32,1858.4884643554688,1858.4999084472656,0.575
33,1858.4541320800781,1858.465576171875,0.51
34,1858.2939147949219,1858.3053588867188,0.741
35,1858.1451416015625,1858.1565856933594,0.588
36,1858.099365234375,1858.1108093261719,0.564
37,1857.9963684082031,1858.0078125,0.549
38,1857.7674865722656,1857.7789306640625,0.519
39,1857.6873779296875,1857.6988220214844,0.572
40,1857.6644897460938,1857.6759338378906,0.504
41,1857.45849609375,1857.4699401855469,0.691
42,1857.4127197265625,1857.4241638183594,0.943
43,1857.4012756347656,1857.4127197265625,0.839
44,1857.3554992675781,1857.366943359375,0.555
45,1857.2639465332031,1857.275390625,0.532
46,1857.1037292480469,1857.1151733398438,0.784
47,1857.0808410644531,1857.09228515625,0.749
48,1856.8977355957031,1856.9091796875,0.936
49,1856.8405151367188,1856.8519592285156,0.558
50,1856.7489624023438,1856.7604064941406,0.645
51,1856.72607421875,1856.7375183105469,0.577
52,1856.6688537597656,1856.6802978515625,0.528
53,1856.6230773925781,1856.634521484375,0.593
54,1856.54296875,1856.5544128417969,0.776
55,1856.4743041992188,1856.4857482910156,0.617
56,1856.451416015625,1856.4628601074219,0.774
57,1856.4056396484375,1856.4170837402344,0.739
58,1856.2568664550781,1856.268310546875,0.579
59,1856.1538696289062,1856.1653137207031,0.817
60,1856.1080932617188,1856.1195373535156,0.58
61,1856.0623168945312,1856.0737609863281,0.691
62,1855.8219909667969,1855.8334350585938,0.508
63,1855.6961059570312,1855.7075500488281,0.812
64,1855.6732177734375,1855.6846618652344,0.603
65,1855.352783203125,1855.3642272949219,0.906
66,1855.2497863769531,1855.26123046875,0.698
67,1855.1811218261719,1855.1925659179688,0.892
68,1855.1467895507812,1855.1582336425781,0.6
69,1855.0666809082031,1855.078125,0.607
70,1855.0209045410156,1855.0323486328125,0.689
71,1855.0094604492188,1855.0209045410156,0.556
72,1854.9064636230469,1854.9179077148438,0.559
73,1854.89501953125,1854.9064636230469,0.606
74,1854.7462463378906,1854.7576904296875,0.778
75,1854.7119140625,1854.7233581542969,0.632
76,1854.4143676757812,1854.4258117675781,0.653
77,1854.3914794921875,1854.4029235839844,0.749
78,1854.3342590332031,1854.345703125,0.536
79,1854.3228149414062,1854.3342590332031,0.705
80,1854.2770385742188,1854.2884826660156,0.569
81,1854.2427062988281,1854.254150390625,0.616
82,1854.1053771972656,1854.1168212890625,0.623
83,1854.071044921875,1854.0824890136719,0.552
84,1853.9909362792969,1854.0023803710938,0.604
85,1853.9680480957031,1853.9794921875,0.73
86,1853.9337158203125,1853.9451599121094,0.689
87,1853.8307189941406,1853.8421630859375,0.525
88,1853.8078308105469,1853.8192749023438,0.744
89,1853.7620544433594,1853.7734985351562,0.562
90,1853.704833984375,1853.7162780761719,0.541
91,1853.61328125,1853.6247253417969,0.55
92,1853.4988403320312,1853.5102844238281,1.0
93,1853.4759521484375,1853.4873962402344,0.507
94,1853.3958435058594,1853.4072875976562,0.53
95,1853.2356262207031,1853.2470703125,0.507
96,1853.2012939453125,1853.2127380371094,0.511
97,1853.0181884765625,1853.0296325683594,0.677
98,1852.9838562011719,1852.9953002929688,0.784
99,1852.8579711914062,1852.8694152832031,0.992
100,1852.8121948242188,1852.8236389160156,0.616
101,1852.789306640625,1852.8007507324219,0.86
102,1852.5947570800781,1852.606201171875,0.624
103,1852.5833129882812,1852.5947570800781,0.629
104,1852.5718688964844,1852.5833129882812,0.831
105,1852.5604248046875,1852.5718688964844,0.55
106,1852.5032043457031,1852.5146484375,0.569
107,1852.4345397949219,1852.4459838867188,0.941
108,1852.2857666015625,1852.2972106933594,0.612
109,1852.2628784179688,1852.2743225097656,0.634
110,1852.2285461425781,1852.239990234375,0.597
111,1852.0912170410156,1852.1026611328125,0.551
112,1852.056884765625,1852.0683288574219,0.919
113,1851.9996643066406,1852.0111083984375,0.733
114,1851.96533203125,1851.9767761230469,0.699
115,1851.9195556640625,1851.9309997558594,0.632
116,1851.8966674804688,1851.9081115722656,0.751
117,1851.8394470214844,1851.8508911132812,0.711
118,1851.7936706542969,1851.8051147460938,0.879
119,1851.7822265625,1851.7936706542969,0.804
120,1851.6105651855469,1851.6220092773438,0.55
121,1851.5762329101562,1851.5876770019531,0.509
122,1851.507568359375,1851.5190124511719,0.547
123,1851.3816833496094,1851.3931274414062,0.605
124,1851.3587951660156,1851.3702392578125,0.513
125,1851.3015747070312,1851.3130187988281,0.68
126,1851.2672424316406,1851.2786865234375,0.513
127,1851.2557983398438,1851.2672424316406,0.744
128,1851.1184692382812,1851.1299133300781,0.62
129,1851.0726928710938,1851.0841369628906,0.542
130,1851.0612487792969,1851.0726928710938,0.507
131,1851.0498046875,1851.0612487792969,0.791
132,1851.0040283203125,1851.0154724121094,0.876
133,1850.9468078613281,1850.958251953125,0.543
134,1850.9353637695312,1850.9468078613281,0.544
135,1850.8895874023438,1850.9010314941406,0.528
136,1850.8323669433594,1850.8438110351562,0.562
137,1850.7408142089844,1850.7522583007812,0.602
138,1850.7293701171875,1850.7408142089844,0.629
139,1850.68359375,1850.6950378417969,0.608
140,1850.6034851074219,1850.6149291992188,0.651
141,1850.5348205566406,1850.5462646484375,0.6
142,1850.5233764648438,1850.5348205566406,0.687
143,1850.50048828125,1850.5119323730469,0.626
144,1850.4776000976562,1850.4890441894531,0.964
145,1850.3288269042969,1850.3402709960938,0.924
146,1850.1686096191406,1850.1800537109375,0.59
147,1850.1113891601562,1850.1228332519531,0.548
148,1850.0198364257812,1850.0312805175781,0.732
149,1849.951171875,1849.9626159667969,0.637
150,1849.9397277832031,1849.951171875,0.584
151,1849.9282836914062,1849.9397277832031,0.578
152,1849.8710632324219,1849.8825073242188,0.552
153,1849.859619140625,1849.8710632324219,0.535
154,1849.6994018554688,1849.7108459472656,0.524
155,1849.6536254882812,1849.6650695800781,0.949
156,1849.6307373046875,1849.6421813964844,0.702
157,1849.5849609375,1849.5964050292969,0.581
158,1849.4705200195312,1849.4819641113281,0.991
159,1849.3560791015625,1849.3675231933594,0.687
160,1849.0242004394531,1849.03564453125,0.563
161,1848.9784240722656,1848.9898681640625,0.569
162,1848.944091796875,1848.9555358886719,0.67
163,1848.8639831542969,1848.8754272460938,0.548
164,1848.8296508789062,1848.8410949707031,0.793
165,1848.5549926757812,1848.5664367675781,0.629
166,1848.4405517578125,1848.4519958496094,0.503
167,1848.4176635742188,1848.4291076660156,0.63
168,1848.3833312988281,1848.394775390625,0.544
169,1848.3718872070312,1848.3833312988281,0.521
170,1848.3375549316406,1848.3489990234375,0.638
171,1848.2688903808594,1848.2803344726562,0.558
172,1848.2574462890625,1848.2688903808594,0.539
173,1848.1315612792969,1848.1430053710938,0.762
174,1848.0857849121094,1848.0972290039062,0.695
175,1848.0743408203125,1848.0857849121094,0.578
176,1848.0628967285156,1848.0743408203125,0.622
177,1848.0400085449219,1848.0514526367188,0.733
178,1847.9598999023438,1847.9713439941406,0.591
179,1847.9026794433594,1847.9141235351562,0.569
180,1847.7996826171875,1847.8111267089844,0.61
181,1847.7653503417969,1847.7767944335938,0.501
182,1847.6280212402344,1847.6394653320312,0.571
183,1847.5135803222656,1847.5250244140625,0.613
184,1847.3075866699219,1847.3190307617188,0.509
185,1847.2618103027344,1847.2732543945312,0.502
186,1847.2389221191406,1847.2503662109375,0.754
187,1847.20458984375,1847.2160339355469,0.597
188,1847.113037109375,1847.1244812011719,0.557
189,1847.1015930175781,1847.113037109375,0.696
190,1847.0901489257812,1847.1015930175781,0.565
191,1846.9871520996094,1846.9985961914062,0.527
192,1846.9184875488281,1846.929931640625,0.528
193,1846.8841552734375,1846.8955993652344,0.693
194,1846.6896057128906,1846.7010498046875,0.563
195,1846.6667175292969,1846.6781616210938,0.533
196,1846.6552734375,1846.6667175292969,0.612
197,1846.6323852539062,1846.6438293457031,0.512
198,1846.5179443359375,1846.5293884277344,0.553
199,1846.4378356933594,1846.4492797851562,0.642
200,1846.3119506835938,1846.3233947753906,0.693
201,1846.2776184082031,1846.2890625,0.575
