,start_freq,end_freq,probability,index
0,1080.0319100749505,1080.0435242969525,0.608,144.0
1,1074.0041288559216,1074.0157430779236,0.597,3258.0
2,1068.3596169629584,1068.3712311849604,0.82,6174.0
3,1065.9322445645441,1065.9438587865461,0.505,7428.0
4,1065.8857876765362,1065.8974018985382,0.772,7452.0
5,1064.631451700322,1064.643065922324,0.741,8100.0
6,1063.1332170620665,1063.1448312840685,0.667,8874.0
7,1063.0751459520566,1063.0867601740586,0.58,8904.0
8,1062.5176632959613,1062.5292775179632,0.753,9192.0
9,1061.6233682018087,1061.6349824238107,0.769,9654.0
10,1061.0078144357037,1061.0194286577057,0.871,9972.0
11,1060.9265148816899,1060.9381291036918,0.724,10014.0
12,1060.2296615615708,1060.2412757835727,0.504,10374.0
13,1054.1438092325322,1054.1554234545342,0.59,13518.0
14,1051.8325790541378,1051.8441932761398,0.528,14712.0
15,1051.3331675080526,1051.3447817300546,0.594,14970.0
16,1050.1252884198464,1050.1369026418483,0.852,15594.0
17,1047.0242911453172,1047.0359053673192,0.67,17196.0
18,1046.3158236031961,1046.327437825198,0.534,17562.0
19,1046.1532244951684,1046.1648387171704,0.776,17646.0
20,1045.723498281095,1045.735112503097,0.769,17868.0
21,1045.4215285090436,1045.4331427310456,0.521,18024.0
22,1043.4122681027006,1043.4238823247026,0.833,19062.0
23,1042.7386432265857,1042.7502574485877,0.658,19410.0
24,1040.9384388162784,1040.9500530382804,0.528,20340.0
25,1032.6923411948712,1032.7039554168732,0.55,24600.0
26,1032.5994274188554,1032.6110416408574,0.511,24648.0
27,1032.04194476276,1032.053558984762,0.508,24936.0
28,1031.9025740987363,1031.9141883207383,0.508,25008.0
29,1031.7864318787165,1031.7980461007185,0.865,25068.0
30,1030.9850505605798,1030.9966647825818,0.697,25482.0
31,1030.4856390144946,1030.4972532364966,0.604,25740.0
32,1030.288197240461,1030.299811462463,0.504,25842.0
33,1028.4531501641477,1028.4647643861497,0.573,26790.0
34,1027.8375963980427,1027.8492106200447,0.58,27108.0
35,1026.7110168638503,1026.7226310858523,0.508,27690.0
36,1026.316133315783,1026.327747537785,0.522,27894.0
37,1025.8631786577057,1025.8747928797077,0.576,28128.0
38,1025.8167217696978,1025.8283359916998,0.515,28152.0
39,1025.7702648816899,1025.7818791036918,0.656,28176.0
40,1025.677351105674,1025.688965327676,0.718,28224.0
41,1025.642508439668,1025.65412266167,0.654,28242.0
42,1025.5495946636522,1025.5612088856542,0.658,28290.0
43,1025.4334524436324,1025.4450666656344,0.728,28350.0
44,1024.934040897547,1024.945655119549,0.544,28608.0
45,1024.8062844555252,1024.8178986775272,0.686,28674.0
46,1024.7946702335232,1024.8062844555252,0.707,28680.0
47,1024.7598275675173,1024.7714417895193,0.757,28698.0
48,1024.6669137915014,1024.6785280135034,0.742,28746.0
49,1080.293230069995,1080.304844291997,0.802,6.0
50,1079.3989349758424,1079.4105491978444,0.52,468.0
51,1077.598730565535,1077.610344787537,0.798,1398.0
52,1075.078444391105,1075.090058613107,0.539,2700.0
53,1072.8833564327304,1072.8949706547323,0.522,3834.0
54,1070.9553955804013,1070.9670098024033,0.691,4830.0
55,1069.3410187221257,1069.3526329441277,0.645,5664.0
56,1068.7370791780227,1068.7486934000246,0.784,5976.0
57,1067.7730987518582,1067.7847129738602,0.596,6474.0
58,1066.7510472156837,1066.7626614376857,0.524,7002.0
59,1065.4734827954658,1065.4850970174678,0.615,7662.0
60,1064.9972996933843,1065.0089139153863,0.625,7908.0
61,1064.614030367319,1064.625644589321,0.786,8106.0
62,1064.5095023693011,1064.521116591303,0.752,8160.0
63,1063.2087095050792,1063.2203237270812,0.576,8832.0
64,1062.9648108430376,1062.9764250650396,0.597,8958.0
65,1061.0136215467046,1061.0252357687066,0.725,9966.0
66,1061.0020073247026,1061.0136215467046,0.65,9972.0
67,1057.1693140640484,1057.1809282860504,0.716,11952.0
68,1056.6582882959613,1056.6699025179632,0.629,12216.0
69,1055.8685211998265,1055.8801354218285,0.575,12624.0
70,1053.3017781373883,1053.3133923593903,0.671,13950.0
71,1052.1635843811941,1052.1751986031961,0.594,14538.0
72,1050.1194813088453,1050.1310955308472,0.537,15594.0
73,1048.9580591086471,1048.9696733306491,0.767,16194.0
74,1047.703723132433,1047.715337354435,0.54,16842.0
75,1045.717691170094,1045.729305392096,0.829,17868.0
76,1040.572590823216,1040.584205045218,0.689,20526.0
77,1038.8536859669225,1038.8653001889245,0.762,21414.0
78,1033.5343722900147,1033.5459865120167,0.62,24162.0
79,1032.6749198618681,1032.6865340838701,0.503,24606.0
80,1032.4658638658325,1032.4774780878345,0.565,24714.0
81,1032.4310211998265,1032.4426354218285,0.633,24732.0
82,1030.9908576715807,1031.0024718935827,0.732,25476.0
83,1030.5727456795094,1030.5843599015113,0.766,25692.0
84,1030.4217607934836,1030.4333750154856,0.68,25770.0
85,1030.4101465714816,1030.4217607934836,0.717,25776.0
86,1030.201090575446,1030.212704797448,0.697,25884.0
87,1027.1465501889245,1027.1581644109265,0.641,27462.0
88,1027.0884790789146,1027.1000933009166,0.643,27492.0
89,1026.821351972869,1026.832966194871,0.776,27630.0
90,1026.5542248668235,1026.5658390888254,0.755,27768.0
91,1026.0780417647422,1026.0896559867442,0.737,28014.0
92,1025.9038284347125,1025.9154426567145,0.783,28104.0
93,1025.671543994673,1025.6831582166749,0.72,28224.0
94,1025.4741022206392,1025.4857164426412,0.68,28326.0
95,1025.1721324485875,1025.1837466705895,0.656,28482.0
96,1025.0908328945736,1025.1024471165756,0.731,28524.0
97,1024.846934232532,1024.858548454534,0.788,28650.0
98,1024.800477344524,1024.812091566526,0.521,28674.0
99,1024.7540204565162,1024.7656346785182,0.545,28698.0
100,1135.6270131318138,1135.6386273538158,0.833,558.0
101,1133.3738540634292,1133.3854682854312,0.742,1722.0
102,1132.8512140733399,1132.8628282953418,0.66,1992.0
103,1130.3425421209117,1130.3541563429137,0.653,3288.0
104,1129.0417492566899,1129.0533634786918,0.548,3960.0
105,1127.8919412784935,1127.9035555004955,0.739,4554.0
106,1127.0673315163529,1127.0789457383548,0.796,4980.0
107,1126.9047324083251,1126.916346630327,0.618,5064.0
108,1123.4785369177403,1123.4901511397422,0.555,6834.0
109,1122.5493991575818,1122.5610133795838,0.832,7314.0
110,1122.398414271556,1122.410028493558,0.847,7392.0
111,1118.1824516848365,1118.1940659068384,0.782,9570.0
112,1112.700538899901,1112.712153121903,0.639,12402.0
113,1109.0769016352824,1109.0885158572844,0.53,14274.0
114,1108.8678456392468,1108.8794598612487,0.72,14382.0
115,1108.8330029732408,1108.8446171952428,0.714,14400.0
116,1107.6367381070368,1107.6483523290387,0.863,15018.0
117,1106.2081888007929,1106.2198030227948,0.64,15756.0
118,1106.184960356789,1106.196574578791,0.633,15768.0
119,1106.0339754707632,1106.0455896927651,0.556,15846.0
120,1106.0107470267592,1106.0223612487612,0.642,15858.0
121,1105.8597621407334,1105.8713763627354,0.776,15936.0
122,1103.1071915262637,1103.1188057482657,0.628,17358.0
123,1103.0955773042617,1103.1071915262637,0.731,17364.0
124,1103.0839630822597,1103.0955773042617,0.721,17370.0
125,1101.8180128840436,1101.8296271060456,0.804,18024.0
126,1099.3093409316155,1099.3209551536174,0.904,19320.0
127,1097.9040200693755,1097.9156342913775,0.506,20046.0
128,1097.021339197225,1097.032953419227,0.544,20502.0
129,1096.0457445490586,1096.0573587710605,0.759,21006.0
130,1095.9296023290387,1095.9412165510407,0.791,21066.0
131,1095.2095205649157,1095.2211347869177,0.778,21438.0
132,1095.1979063429137,1095.2095205649157,0.835,21444.0
133,1094.5126672447968,1094.5242814667988,0.527,21798.0
134,1093.9319561446978,1093.9435703666998,0.547,22098.0
135,1093.6880574826562,1093.6996717046582,0.531,22224.0
136,1093.4790014866205,1093.4906157086225,0.544,22332.0
137,1092.445335728444,1092.456949950446,0.705,22866.0
138,1092.1665944003964,1092.1782086223984,0.717,23010.0
139,1091.9459241823588,1091.9575384043608,0.538,23124.0
140,1091.4232841922696,1091.4348984142716,0.671,23394.0
141,1090.2154051040634,1090.2270193260654,0.531,24018.0
142,1090.0760344400396,1090.0876486620416,0.539,24090.0
143,1090.0295775520317,1090.0411917740337,0.508,24114.0
144,1089.7159935579782,1089.7276077799802,0.589,24276.0
145,1089.3443384539148,1089.3559526759168,0.723,24468.0
146,1088.3803580277502,1088.3919722497521,0.534,24966.0
147,1088.2061446977204,1088.2177589197224,0.562,25056.0
148,1086.7659811694748,1086.7775953914768,0.791,25800.0
149,1086.707910059465,1086.7195242814669,0.607,25830.0
150,1086.696295837463,1086.707910059465,0.546,25836.0
151,1086.2549554013874,1086.2665696233894,0.572,26064.0
152,1085.256132309217,1085.267746531219,0.73,26580.0
153,1085.209675421209,1085.221289643211,0.518,26604.0
154,1083.363014122894,1083.3746283448959,0.507,27558.0
155,1081.4234390485628,1081.4350532705648,0.707,28560.0
156,1135.9115615708622,1135.9231757928642,0.546,408.0
157,1134.2739562685827,1134.2855704905846,0.72,1254.0
158,1133.7861589444994,1133.7977731665014,0.503,1506.0
159,1133.426118062438,1133.43773228444,0.574,1692.0
160,1131.8465838701684,1131.8581980921704,0.854,2508.0
161,1131.8349696481664,1131.8465838701684,0.686,2514.0
162,1130.9755172200198,1130.9871314420218,0.805,2958.0
163,1127.7235350594647,1127.7351492814666,0.703,4638.0
164,1127.0150675173438,1127.0266817393458,0.572,5004.0
165,1122.0674089444994,1122.0790231665014,0.52,7560.0
166,1121.0802000743308,1121.0918142963328,0.815,8070.0
167,1120.987286298315,1120.998900520317,0.51,8118.0
168,1118.96641166997,1118.978025891972,0.642,9162.0
169,1118.9199547819621,1118.9315690039641,0.629,9186.0
170,1117.781761025768,1117.79337524777,0.549,9774.0
171,1117.746918359762,1117.758532581764,0.57,9792.0
172,1117.4681770317145,1117.4797912537165,0.552,9936.0
173,1116.9687654856293,1116.9803797076313,0.504,10194.0
174,1115.807343285431,1115.818957507433,0.871,10794.0
175,1115.133718409316,1115.145332631318,0.508,11142.0
176,1111.0222838206143,1111.0338980426163,0.738,13266.0
177,1110.4415727205153,1110.4531869425173,0.564,13566.0
178,1110.1860598364717,1110.1976740584737,0.619,13698.0
179,1108.8852669722496,1108.8968811942516,0.653,14370.0
180,1108.8620385282456,1108.8736527502476,0.568,14382.0
181,1108.664596754212,1108.676210976214,0.666,14484.0
182,1106.2023816897918,1106.2139959117937,0.645,15756.0
183,1106.1907674677898,1106.2023816897918,0.599,15762.0
184,1106.1791532457878,1106.1907674677898,0.621,15768.0
185,1106.1675390237858,1106.1791532457878,0.766,15774.0
186,1106.109467913776,1106.121082135778,0.556,15804.0
187,1106.086239469772,1106.097853691774,0.68,15816.0
188,1106.051396803766,1106.063011025768,0.568,15834.0
189,1105.993325693756,1106.004939915758,0.729,15864.0
190,1105.9817114717541,1105.993325693756,0.796,15870.0
191,1105.9352545837462,1105.9468688057482,0.758,15894.0
192,1105.9236403617442,1105.9352545837462,0.606,15900.0
193,1105.8539550297323,1105.8655692517343,0.757,15936.0
194,1105.1687159316155,1105.1803301536174,0.593,16290.0
195,1104.6228474975221,1104.634461719524,0.626,16572.0
196,1104.1698928394449,1104.1815070614468,0.742,16806.0
197,1104.042136397423,1104.053750619425,0.895,16872.0
198,1104.0072937314171,1104.018907953419,0.516,16890.0
199,1102.880714197225,1102.892328419227,0.61,17472.0
200,1102.694886645193,1102.706500867195,0.749,17568.0
