,start_freq,end_freq,probability
0,1079.3350567548316,1079.3466709768336,0.544
1,1079.3234425328296,1079.3350567548316,0.616
2,1079.2537572008177,1079.2653714228197,0.541
3,1079.2073003128098,1079.2189145348118,0.915
4,1079.1840718688059,1079.1956860908078,0.508
5,1079.1143865367937,1079.1260007587957,0.651
6,1079.0795438707878,1079.0911580927898,0.776
7,1078.97501587277,1078.986630094772,0.654
8,1078.8124167647422,1078.8240309867442,0.501
9,1078.7891883207383,1078.8008025427403,0.548
10,1078.7659598767343,1078.7775740987363,0.519
11,1078.6846603227204,1078.6962745447224,0.668
12,1078.6730461007185,1078.6846603227204,0.81
13,1078.6614318787165,1078.6730461007185,0.512
14,1078.6498176567145,1078.6614318787165,0.719
15,1078.4639901046828,1078.4756043266848,0.604
16,1078.382690550669,1078.394304772671,0.523
17,1078.371076328667,1078.382690550669,0.523
18,1078.278162552651,1078.289776774653,0.587
19,1078.2433198866452,1078.2549341086471,0.574
20,1078.1968629986372,1078.2084772206392,0.579
21,1078.1039492226214,1078.1155634446234,0.513
22,1078.0923350006194,1078.1039492226214,0.606
23,1078.0807207786174,1078.0923350006194,0.588
24,1077.9761927805996,1077.9878070026016,0.539
25,1077.9413501145937,1077.9529643365956,0.672
26,1077.9297358925917,1077.9413501145937,0.55
27,1077.8716647825818,1077.8832790045838,0.631
28,1077.80197945057,1077.8135936725719,0.619
29,1077.74390834056,1077.755522562562,0.814
30,1077.674223008548,1077.68583723055,0.569
31,1077.6626087865461,1077.674223008548,0.909
32,1077.5464665665263,1077.5580807885283,0.59
33,1077.5116239005204,1077.5232381225223,0.833
34,1077.4070959025025,1077.4187101245045,0.813
35,1077.3954816805006,1077.4070959025025,0.564
36,1077.3490247924926,1077.3606390144946,0.699
37,1077.3025679044847,1077.3141821264867,0.518
38,1077.2909536824827,1077.3025679044847,0.541
39,1077.2793394604807,1077.2909536824827,0.586
40,1077.174811462463,1077.186425684465,0.527
41,1077.151583018459,1077.163197240461,0.671
42,1077.139968796457,1077.151583018459,0.61
43,1077.128354574455,1077.139968796457,0.551
44,1077.081897686447,1077.093511908449,0.573
45,1077.058669242443,1077.070283464445,0.673
46,1076.9773696884292,1076.9889839104312,0.838
47,1076.9076843564173,1076.9192985784193,0.627
48,1076.7799279143953,1076.7915421363973,0.626
49,1072.2619955556245,1072.2736097776265,0.502
50,1067.8369769728693,1067.8485911948712,0.671
51,1067.7905200848613,1067.8021343068633,0.685
52,1067.5350072008177,1067.5466214228197,0.592
53,1067.3724080927898,1067.3840223147918,0.796
54,1067.291108538776,1067.302722760778,0.508
55,1067.233037428766,1067.244651650768,0.523
56,1067.0355956547323,1067.0472098767343,0.505
57,1066.9426818787165,1066.9542961007185,0.622
58,1066.8613823247026,1066.8729965467046,0.513
59,1066.8497681027006,1066.8613823247026,0.531
60,1066.8381538806987,1066.8497681027006,0.717
61,1066.7800827706888,1066.7916969926907,0.772
62,1066.7568543266848,1066.7684685486868,0.564
63,1066.7336258826808,1066.7452401046828,0.501
64,1066.7220116606788,1066.7336258826808,0.692
65,1066.629097884663,1066.640712106665,0.737
66,1066.5361841086471,1066.5477983306491,0.76
67,1066.4432703326313,1066.4548845546333,0.58
68,1066.4200418886273,1066.4316561106293,0.541
69,1066.3735850006194,1066.3851992226214,0.604
70,1066.3503565566155,1066.3619707786174,0.66
71,1066.3271281126115,1066.3387423346135,0.511
72,1066.2342143365956,1066.2458285585976,0.685
73,1066.2109858925917,1066.2226001145937,0.521
74,1066.1645290045838,1066.1761432265857,0.699
75,1066.1413005605798,1066.1529147825818,0.661
76,1066.1296863385778,1066.1413005605798,0.53
